Source	Target	Weight	Direction
hsa:5296	hsa:8503	1	0
hsa:1398	hsa:5290	1	0
hsa:1398	hsa:5291	1	0
hsa:1398	hsa:5293	1	0
hsa:1398	hsa:5295	1	0
hsa:1398	hsa:5296	1	0
hsa:1398	hsa:8503	1	0
hsa:1399	hsa:5290	1	0
hsa:1399	hsa:5291	1	0
hsa:1399	hsa:5293	1	0
hsa:1399	hsa:5295	1	0
hsa:1399	hsa:5296	1	0
hsa:1399	hsa:8503	1	0
hsa:867	hsa:1398	2	0
hsa:867	hsa:1399	2	0
hsa:9846	hsa:5781	1	1
hsa:9846	hsa:5290	1	1
hsa:9846	hsa:5291	1	1
hsa:9846	hsa:5293	1	1
hsa:9846	hsa:5295	1	1
hsa:9846	hsa:5296	1	1
hsa:9846	hsa:8503	1	1
hsa:6654	hsa:6655	1	0
hsa:2885	hsa:6654	1	1
hsa:2885	hsa:6655	1	1
hsa:2885	hsa:9846	1	1
hsa:6654	hsa:3265	1	1
hsa:6654	hsa:3845	1	1
hsa:6654	hsa:4893	1	1
hsa:6655	hsa:3265	1	1
hsa:6655	hsa:3845	1	1
hsa:6655	hsa:4893	1	1
hsa:1026	hsa:1019	1	0
hsa:1026	hsa:1021	1	0
hsa:1029	hsa:4193	1	1
hsa:572	hsa:598	1	1
hsa:1147	hsa:4792	2	1
hsa:3551	hsa:4792	2	1
hsa:8517	hsa:4792	2	1
hsa:4790	hsa:5970	1	0
hsa:4790	hsa:4792	1	0
hsa:5970	hsa:4792	1	0
hsa:6776	hsa:6777	1	0
hsa:6776	hsa:598	1	1
hsa:6777	hsa:598	1	1
hsa:7046	hsa:4088	1	0
hsa:7048	hsa:7046	1	0
hsa:3065	hsa:3066	1	0
hsa:2122	hsa:3065	2	0
hsa:2122	hsa:3066	2	0
hsa:1487	hsa:1488	1	0
hsa:3065	hsa:1487	1	0
hsa:3065	hsa:1488	1	0
hsa:3066	hsa:1487	1	0
hsa:3066	hsa:1488	1	0
hsa:7040	hsa:7042	1	0
hsa:7040	hsa:7043	1	0
hsa:7042	hsa:7043	1	0
hsa:7040	hsa:7048	1	0
hsa:7042	hsa:7048	1	0
hsa:7043	hsa:7048	1	0
hsa:25	hsa:613	1	0
hsa:25	hsa:1398	1	0
hsa:25	hsa:1399	1	0
hsa:613	hsa:1398	1	0
hsa:613	hsa:1399	1	0
hsa:25	hsa:6776	1	1
hsa:25	hsa:6777	1	1
hsa:613	hsa:6776	1	1
hsa:613	hsa:6777	1	1
hsa:25	hsa:4609	1	1
hsa:613	hsa:4609	1	1
hsa:25759	hsa:399694	1	0
hsa:25759	hsa:53358	1	0
hsa:25759	hsa:6464	1	0
hsa:399694	hsa:53358	1	0
hsa:399694	hsa:6464	1	0
hsa:53358	hsa:6464	1	0
hsa:25	hsa:25759	2	1
hsa:25	hsa:399694	2	1
hsa:25	hsa:53358	2	1
hsa:25	hsa:6464	2	1
hsa:613	hsa:25759	2	1
hsa:613	hsa:399694	2	1
hsa:613	hsa:53358	2	1
hsa:613	hsa:6464	2	1
hsa:25	hsa:2885	1	1
hsa:613	hsa:2885	1	1
hsa:2122	hsa:861	1	0
hsa:861	hsa:3065	1	0
hsa:861	hsa:3066	1	0
